Título,,,,
H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),,,,
Área Geográfica,,,,
Toda la Base de Datos,,,,
Frecuencia,,,,
  de H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),,,,
,,,,
,AREA # 0101,"Amazonas, provincia: Chachapoyas",,
,,,,
,AREA # 0603,"Cajamarca, provincia: Celendín",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   23 898,"100,00%","100,00%"
,Total,   23 898,"100,00%","100,00%"
,,,,
,No Aplica :,    53,,
,,,,
,AREA # 0604,"Cajamarca, provincia: Chota",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   44 493,"100,00%","100,00%"
,Total,   44 493,"100,00%","100,00%"
,,,,
,No Aplica :,    129,,
,,,,
,AREA # 0605,"Cajamarca, provincia: Contumazá",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   9 088,"100,00%","100,00%"
,Total,   9 088,"100,00%","100,00%"
,,,,
,No Aplica :,    37,,
,,,,
,AREA # 0606,"Cajamarca, provincia: Cutervo",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   36 645,"100,00%","100,00%"
,Total,   36 645,"100,00%","100,00%"
,,,,
,No Aplica :,    82,,
,,,,
,AREA # 0607,"Cajamarca, provincia: Hualgayoc",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   25 423,"100,00%","100,00%"
,Total,   25 423,"100,00%","100,00%"
,,,,
,No Aplica :,    64,,
,,,,
,AREA # 0608,"Cajamarca, provincia: Jaén",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   53 105,"100,00%","100,00%"
,Total,   53 105,"100,00%","100,00%"
,,,,
,No Aplica :,    146,,
,,,,
,AREA # 0609,"Cajamarca, provincia: San Ignacio",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   37 238,"100,00%","100,00%"
,Total,   37 238,"100,00%","100,00%"
,,,,
,No Aplica :,    86,,
,,,,
,AREA # 0610,"Cajamarca, provincia: San Marcos",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   14 888,"100,00%","100,00%"
,Total,   14 888,"100,00%","100,00%"
,,,,
,No Aplica :,    37,,
,,,,
,AREA # 0611,"Cajamarca, provincia: San Miguel",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   15 433,"100,00%","100,00%"
,Total,   15 433,"100,00%","100,00%"
,,,,
,No Aplica :,    53,,
,,,,
,AREA # 0612,"Cajamarca, provincia: San Pablo",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   6 562,"100,00%","100,00%"
,Total,   6 562,"100,00%","100,00%"
,,,,
,No Aplica :,    8,,
,,,,
,AREA # 0613,"Cajamarca, provincia: Santa Cruz",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   11 626,"100,00%","100,00%"
,Total,   11 626,"100,00%","100,00%"
,,,,
,No Aplica :,    55,,
,,,,
,AREA # 0701,Provincia Constitucional del Callao,,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   243 306,"91,39%","91,39%"
,Sí usa gas natural,   22 922,"8,61%","100,00%"
,Total,   266 228,"100,00%","100,00%"
,,,,
,No Aplica :,    525,,
,,,,
,AREA # 0801,"Cusco, provincia: Cusco",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   126 363,"100,00%","100,00%"
,Total,   126 363,"100,00%","100,00%"
,,,,
,No Aplica :,    648,,
,,,,
,AREA # 0802,"Cusco, provincia: Acomayo",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   7 155,"100,00%","100,00%"
,Total,   7 155,"100,00%","100,00%"
,,,,
,No Aplica :,    20,,
,,,,
,AREA # 0803,"Cusco, provincia: Anta",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   16 750,"100,00%","100,00%"
,Total,   16 750,"100,00%","100,00%"
,,,,
,No Aplica :,    72,,
,,,,
,AREA # 0804,"Cusco, provincia: Calca",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   19 059,"100,00%","100,00%"
,Total,   19 059,"100,00%","100,00%"
,,,,
,No Aplica :,    78,,
,,,,
,AREA # 0805,"Cusco, provincia: Canas",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   10 701,"100,00%","100,00%"
,Total,   10 701,"100,00%","100,00%"
,,,,
,No Aplica :,    39,,
,,,,
,AREA # 0806,"Cusco, provincia: Canchis",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   30 044,"100,00%","100,00%"
,Total,   30 044,"100,00%","100,00%"
,,,,
,No Aplica :,    85,,
,,,,
,AREA # 0807,"Cusco, provincia: Chumbivilcas",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   21 268,"100,00%","100,00%"
,Total,   21 268,"100,00%","100,00%"
,,,,
,No Aplica :,    150,,
,,,,
,AREA # 0808,"Cusco, provincia: Espinar",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   19 170,"100,00%","100,00%"
,Total,   19 170,"100,00%","100,00%"
,,,,
,No Aplica :,    160,,
,,,,
,AREA # 0809,"Cusco, provincia: La Convención",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   42 754,"100,00%","100,00%"
,Total,   42 754,"100,00%","100,00%"
,,,,
,No Aplica :,    301,,
,,,,
,AREA # 0810,"Cusco, provincia: Paruro",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   8 200,"100,00%","100,00%"
,Total,   8 200,"100,00%","100,00%"
,,,,
,No Aplica :,    18,,
,,,,
,AREA # 0811,"Cusco, provincia: Paucartambo",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   12 184,"100,00%","100,00%"
,Total,   12 184,"100,00%","100,00%"
,,,,
,No Aplica :,    32,,
,,,,
,AREA # 0812,"Cusco, provincia: Quispicanchi",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   24 703,"100,00%","100,00%"
,Total,   24 703,"100,00%","100,00%"
,,,,
,No Aplica :,    79,,
,,,,
,AREA # 0813,"Cusco, provincia: Urubamba",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   16 518,"100,00%","100,00%"
,Total,   16 518,"100,00%","100,00%"
,,,,
,No Aplica :,    201,,
,,,,
,AREA # 0901,"Huancavelica, provincia: Huancavelica",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   33 386,"100,00%","100,00%"
,Total,   33 386,"100,00%","100,00%"
,,,,
,No Aplica :,    130,,
,,,,
,AREA # 0902,"Huancavelica, provincia: Acobamba",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   11 670,"100,00%","100,00%"
,Total,   11 670,"100,00%","100,00%"
,,,,
,No Aplica :,    70,,
,,,,
,AREA # 0903,"Huancavelica, provincia: Angaraes",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   14 279,"100,00%","100,00%"
,Total,   14 279,"100,00%","100,00%"
,,,,
,No Aplica :,    41,,
,,,,
,AREA # 0904,"Huancavelica, provincia: Castrovirreyna",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   5 219,"100,00%","100,00%"
,Total,   5 219,"100,00%","100,00%"
,,,,
,No Aplica :,    43,,
,,,,
,AREA # 0905,"Huancavelica, provincia: Churcampa",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   9 967,"100,00%","100,00%"
,Total,   9 967,"100,00%","100,00%"
,,,,
,No Aplica :,    30,,
,,,,
,AREA # 0906,"Huancavelica, provincia: Huaytará",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   6 581,"100,00%","100,00%"
,Total,   6 581,"100,00%","100,00%"
,,,,
,No Aplica :,    52,,
,,,,
,AREA # 0907,"Huancavelica, provincia: Tayacaja",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   24 916,"100,00%","100,00%"
,Total,   24 916,"100,00%","100,00%"
,,,,
,No Aplica :,    64,,
