Título,,,,
V: Abastecimiento de agua en la vivienda,,,,
Área Geográfica,,,,
Toda la Base de Datos,,,,
Frecuencia,,,,
  de V: Abastecimiento de agua en la vivienda,,,,
,,,,
,AREA # 0101,"Amazonas, provincia: Chachapoyas",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Vecino,   10 325,"0,47%","100,00%"
,Total,  2 175 200,"100,00%","100,00%"
,,,,
,No Aplica :,   437 966,,
,,,,
,AREA # 1502,"Lima, provincia: Barranca",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   31 656,"83,03%","83,03%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   2 470,"6,48%","89,51%"
,Pilón o pileta de uso público,    912,"2,39%","91,90%"
,Camión - cisterna u otro similar,    444,"1,16%","93,07%"
,Pozo (agua subterránea),   1 102,"2,89%","95,96%"
,Manantial o puquio,    118,"0,31%","96,27%"
,"Río, acequia, lago, laguna",   1 168,"3,06%","99,33%"
,Otro,    62,"0,16%","99,49%"
,Vecino,    194,"0,51%","100,00%"
,Total,   38 126,"100,00%","100,00%"
,,,,
,No Aplica :,   12 383,,
,,,,
,AREA # 1503,"Lima, provincia: Cajatambo",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   1 414,"65,49%","65,49%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    101,"4,68%","70,17%"
,Pilón o pileta de uso público,    43,"1,99%","72,16%"
,Pozo (agua subterránea),    204,"9,45%","81,61%"
,Manantial o puquio,    161,"7,46%","89,07%"
,"Río, acequia, lago, laguna",    229,"10,61%","99,68%"
,Otro,    4,"0,19%","99,86%"
,Vecino,    3,"0,14%","100,00%"
,Total,   2 159,"100,00%","100,00%"
,,,,
,No Aplica :,   2 871,,
,,,,
,AREA # 1504,"Lima, provincia: Canta",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   2 307,"60,23%","60,23%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    548,"14,31%","74,54%"
,Pilón o pileta de uso público,    256,"6,68%","81,23%"
,Camión - cisterna u otro similar,    216,"5,64%","86,87%"
,Pozo (agua subterránea),    205,"5,35%","92,22%"
,Manantial o puquio,    64,"1,67%","93,89%"
,"Río, acequia, lago, laguna",    172,"4,49%","98,38%"
,Otro,    35,"0,91%","99,30%"
,Vecino,    27,"0,70%","100,00%"
,Total,   3 830,"100,00%","100,00%"
,,,,
,No Aplica :,   4 739,,
,,,,
,AREA # 1505,"Lima, provincia: Cañete",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   43 330,"68,83%","68,83%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   4 054,"6,44%","75,27%"
,Pilón o pileta de uso público,   1 255,"1,99%","77,26%"
,Camión - cisterna u otro similar,   8 398,"13,34%","90,60%"
,Pozo (agua subterránea),   3 586,"5,70%","96,30%"
,Manantial o puquio,    125,"0,20%","96,50%"
,"Río, acequia, lago, laguna",   1 548,"2,46%","98,95%"
,Otro,    151,"0,24%","99,19%"
,Vecino,    507,"0,81%","100,00%"
,Total,   62 954,"100,00%","100,00%"
,,,,
,No Aplica :,   35 716,,
,,,,
,AREA # 1506,"Lima, provincia: Huaral",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   33 458,"70,96%","70,96%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   3 509,"7,44%","78,41%"
,Pilón o pileta de uso público,    826,"1,75%","80,16%"
,Camión - cisterna u otro similar,    996,"2,11%","82,27%"
,Pozo (agua subterránea),   6 264,"13,29%","95,56%"
,Manantial o puquio,    294,"0,62%","96,18%"
,"Río, acequia, lago, laguna",   1 598,"3,39%","99,57%"
,Otro,    62,"0,13%","99,70%"
,Vecino,    141,"0,30%","100,00%"
,Total,   47 148,"100,00%","100,00%"
,,,,
,No Aplica :,   16 069,,
,,,,
,AREA # 1507,"Lima, provincia: Huarochirí",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   9 293,"56,62%","56,62%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   2 704,"16,47%","73,09%"
,Pilón o pileta de uso público,    601,"3,66%","76,75%"
,Camión - cisterna u otro similar,    699,"4,26%","81,01%"
,Pozo (agua subterránea),   1 504,"9,16%","90,17%"
,Manantial o puquio,    918,"5,59%","95,77%"
,"Río, acequia, lago, laguna",    593,"3,61%","99,38%"
,Otro,    37,"0,23%","99,60%"
,Vecino,    65,"0,40%","100,00%"
,Total,   16 414,"100,00%","100,00%"
,,,,
,No Aplica :,   12 971,,
,,,,
,AREA # 1508,"Lima, provincia: Huaura",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   43 244,"71,02%","71,02%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   4 853,"7,97%","78,99%"
,Pilón o pileta de uso público,   3 307,"5,43%","84,43%"
,Camión - cisterna u otro similar,   4 252,"6,98%","91,41%"
,Pozo (agua subterránea),   2 581,"4,24%","95,65%"
,Manantial o puquio,    396,"0,65%","96,30%"
,"Río, acequia, lago, laguna",   1 788,"2,94%","99,23%"
,Otro,    144,"0,24%","99,47%"
,Vecino,    322,"0,53%","100,00%"
,Total,   60 887,"100,00%","100,00%"
